k-name,k-quote,e-name,e-quote
소크라테스," 떠날 때가 되었으니, 이제 각자의 길을 가자. 나는 죽기 위해서, 당신들은 살기 위해. 어느 편이 더 좋은 지는 오직 신만이 알 뿐이다. ",Socrates,"The hour of departure has arrived, and we go our ways - I to die, and you to live. Which is better God only knows."
마더 테레사, 당신을 만나는 모든 사람이 당신과 헤어질 때는 더 나아지고 더 행복해질 수 있도록 하라. ,Mother Teresa,Let no one ever come to you without leaving better and happier.
엘리자베스 1세, 한 순간을 위해 내가 가진 모든 것을. (한 순간만 더 살수 있다면 내가 가진 모든 것을 내놓을텐데) ,Elizabeth I,All my possessions for a moment of time.
워런 버핏, 대부분의 사람들은 남들이 주식에 관심을 보이고 있을 때 흥미를 갖곤 한다. 하지만 주식에 관심을 가져야 할 때는 아무도 거들떠 보지 않을 때다. 평소엔 인기도 있으면서 잘 나가는 주식은 살 수 없기 때문이다. ,Warren Buffett,Most people get interested in stocks when everyone else is. The time to get interested is when no one else is. You can't buy what is popular and do well.
로버트슨 데이비스, 세상은 그들이 생각하는 만족스러운 미래가 사실은 이상화된 과거로의 회귀인 사람들로 가득하다. ,Robertson Davies,"The world is full of people whose notion of a satisfactory future is, in fact, a return to the idealised past."
윈스턴 처칠, 미래의 제국은 마음의 제국이다. ,Sir Winston Churchill,The empires of the future are the empires of the mind.
나폴레옹 보나파르트, 나는 영토는 잃을지 몰라도 결코 시간은 잃지 않을 것이다. ,Napoleon Bonaparte,I may lose land...but I never lose a minute.
댄 퀸스베리, 미래는 현재와 무척 닮았다. 단지 더 길뿐이다. ,Dan Quisenberry,"The future is much like the present, only longer."
테오프라스토스, 시간은 인간이 쓸 수 있는 가장 값진 것이다. ,Theophrastus,Time is the most valuable thing a man can spend.
요기 베라, 미래는 예전의 미래가 아니다. ,Yogi Berra,The future ain't what it used to be.
윌리엄 셰익스피어," 우리는 오늘은 이러고 있지만, 내일은 어떻게 될지 누가 알아요? ",William Shakespeare,"We know what we are, but not what we may be."
존 슬라덱, 일부 과학자들에 따르면 미래는 과거와 똑같을 것이다. 단지 훨씬 값비쌀 뿐이다. ,John Sladek,"The future, according to some scientists, will be exactly like the past, only far more expensive."
파울 클레, 우리를 조금 크게 만드는데 걸리는 시간은 단 하루면 충분하다. ,Paul Klee,A single day is enough to make us a little larger.
마크 트웨인," 시간은 차갑게 식혀주고, 명확하게 보여준다. 변하지 않은 채 몇 시간이고 지속되는 마음의 상태는 없다. ",Mark Twain,"Time cools, time clarifies; no mood can be maintained quite unaltered through the course of hours."
토마스 할리버튼, 시간 엄수는 비즈니스의 영혼이다. ,Thomas Halyburton,Punctuality is the soul of business.
윌리엄 깁슨, 미래는 여기 있다. 아직 널리 퍼지지 않았을 뿐이다. ,William Gibson,The future is here. It's just not widely distributed yet.
메이슨 쿨리, 낭비한 시간에 대한 후회는 더 큰 시간 낭비이다. ,Mason Cooley,Regret for wasted time is more wasted time.
알버트 아인슈타인, 나는 미래에 대해 생각하는 법이 없다. 어차피 곧 닥치니까. ,Albert Einstein,I never think of the future - it comes soon enough.
윌리엄 서머셋 모옴, 나는 과거를 생각하지 않습니다. 중요한것은 끝없는 현재 뿐이지요. ,William Somerset Maugham,I don't think of the past. The only thing that matters is the everlasting present.
마하트마 간디, 미래는 현재 우리가 무엇을 하는가에 달려 있다. ,Mahatma Gandhi,The future depends on what we do in the present.
존 F. 케네디," 시간을 도구로 사용할 뿐, 시간에 의존해서는 안된다. (시간이 모든 것을 해결해 줄 것이라 기대하지 말고, 시간을 주도하라.) ",John F. Kennedy,"We must use time as a tool, not as a crutch."
말콤 포브스," 복역 중이 아니라면, 충분한 시간이란 결코 없다. ",Malcolm Forbes,"There is never enough time, unless you're serving it."
에이브러햄 링컨," 누구에게도 악의를 품지 말고, 모든 이를 사랑하는 마음으로, ...지금 우리에게 맡겨진 일을 완수하고,... 모든 국가와 함께 정의롭고 영원한 평화를 이루기 위해 우리 모두 최선을 다 합시다. ",Abraham Lincoln,"With malice toward none, with charity for all, ...let us strive on to finish the work we are in, ...to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations."
작자 미상," 무얼하든 주의 깊게 하라, 그리고 목표를 바라보라. ",Unknown,"Whatever you do, do cautiously, and look to the end."
토마스 풀러," 바쁜 자는 단지 마귀 하나로부터 유혹받지만, 한가로운 자는 수많은 마귀들로부터 유혹당한다. ",Thomas Fuller,"He that is busy is tempted by but one devil; he that is idle, by a legion."
클린트 이스트우드," 당신의 노력을 존중하라. 당신 자신을 존중하라. 자존감은 자제력을 낳는다. 이 둘을 모두 겸비하면, 진정한 힘을 갖게 된다. ",Clint Eastwood,"Respect your efforts, respect yourself. Self-respect leads to self-discipline. When you have both firmly under your belt, that's real power."
작자 미상, 성경은 게으름뱅이에게 빵을 약속하지 않는다. ,Unknown,The Bible promises no loaves to the loafer.
플로이드 델, 무위란 아무 것도 안 하는 상태가 아니다. 무위란 무슨 일이든 할 수 있도록 자유로운 상태다. ,Floyd Dell,Idleness is not doing nothing. Idleness is being free to do anything.
조지프 애디슨," 운동은 체액을 발효시켜 적절한 통로로 보내고 그 여분을 없애며 이 신비로운 분배 과정을 통해 자연을 돕는데, 이 과정이 없다면 신체는 활력을 유지할 수 없고, 영혼은 유쾌함을 잃는다. ",Joseph Addison,"Exercise ferments the humors, casts them into their proper channels, throws off redundancies, and helps nature in those secret distributions, without which the body cannot subsist in its vigor, nor the soul act with cheerfulness."
히포크라테스, 허송세월하며 할 일이 없는 사람은 악(惡)으로 끌려가는 것이 아니라 저절로 기울어 진다. ,Hippocrates,Idleness and lack of occupation tend - nay are dragged - towards evil.
에이브러햄 링컨," 만일 내게 나무를 베기 위해 한 시간만 주어진다면, 우선 나는 도끼를 가는데 45분을 쓸 것이다. ",Abraham Lincoln,"If I only had an hour to chop down a tree, I would spend the first 45 minutes sharpening my axe."
아가사 크리스티, 나는 필요가 발명의 어머니라고 생각하지 않는다. 내 생각에 발명은 무위 또는 나태함의 직접적인 결과다. 귀찮은 일을 피하기 위해서 말이지. ,Agatha Christie,"I don't think necessity is the mother of invention - invention, in my opinion, arises directly from idleness, possibly also from laziness. To save oneself trouble."
생텍쥐페리, 사람의 생명을 구하는 것은 오직 한 걸음을 내딛는 것이다. 그리고 또 한 걸음. 항상 같은 걸음일지라도 내딛어야 한다. ,Antoine de Saint-Exupery,"What saves a man is to take a step. Then another step. It is always the same step, but you have to take it."
알버트 아인슈타인, 나약한 태도는 성격도 나약하게 만든다. ,Albert Einstein,Weakness of attitude becomes weakness of character.
알버트 아인슈타인, 나는 똑똑한 것이 아니라 단지 문제를 더 오래 연구할 뿐이다. ,Albert Einstein,"It's not that I'm so smart , it's just that I stay with problems longer."
헬렌 켈러," 나는 한 인간에 불과하지만, 오롯한 인간이다. 나는 모든 것을 할 수는 없지만, 무엇인가 할 수 있다. 그러므로 나는 내가 할 수 있는 것을 기꺼이 하겠다. ",Helen Keller,"I am only one, still I am one. I can not do everything, still I can do something. I will not refuse to do the something I can do"
제임스 리피," 운동만으로도 정신적, 육체적 혜택을 얻을 수 있다. 하지만 운동 시 정신을 집중하는 전략을 함께 채택한다면, 엄청난 정신적 혜택을 아주 빠르게 얻을 수 있다. ",James Rippe,"Exercise alone provides psychological and physical benefits. However, if you also adopt a strategy that engages your mind while you exercise, you can get a whole host of psychological benefits fairly quickly."
프레드리히 니체, 개선이란 무언가가 좋지 않다고 느낄 수 있는 사람들에 의해서만 만들어질 수 있다. ,Friedrich Nietzsche,Improvements are invented only by those who can feel that something is not good.
헬렌 켈러," 우리가 할 수 있는 최선을 다할 때, 우리 혹은 타인의 삶에 어떤 기적이 나타나는지 아무도 모른다. ",Helen Keller,"When we do the best that we can, we never know what miracle is wrought in our life, or in the life of another."
존 F. 케네디," 이 모든 과제는 취임 후 100일 안에 이뤄지지는 않을 것입니다. 1,000일 안에도 이뤄지지 않을 것이며, 현 정부의 임기 중에 끝나지도 않을 것이며, 어쩌면 우리가 지구상에 살아있는 동안 이루지 못할 수도 있습니다. 하지만 시작합시다. ",John F. Kennedy,"All this will not be finished in the first 100 days. Nor will it be finished in the first 1,000 days, nor in the life of this administration, nor even perhaps in our lifetime on this planet. But let us begin."
마더 테레사, 우리가 하는 일은 바다에 붓는 한 방울의 물보다 하찮은 것이다. 하지만 그 한 방울이 없다면 바다는 그만큼 줄어들 것이다. ,Mother Teresa,"What we do is less than a drop in the ocean. But if it were missing, the ocean would lack something."
생텍쥐페리, 해가 지는 것을 보게 해 주겠노라. 짐이 요구하겠노라. 그러나 내 통치 기술에 따라 조건이 갖추어지길 기다려야하느니라. ,Antoine de Saint-Exupery,"You shall have your sunset. I shall command it. But I shall wait, according to my science of government, until conditions are favorable."
폴 퍼셀, 긍정적 사고만큼 나를 우울하게 만드는 일은 없다. ,Paul Fussell,I find nothing more depressing than optimism.
E. E. 커밍스, 인생에서 가장 의미없이 보낸 날은 웃지 않고 보낸 날이다. ,E. E. Cummings,The most wasted of all days is one without laughter.
로버트 고다드, 불가능이 무엇인가는 말하기 어렵다. 어제의 꿈은 오늘의 희망이며 내일의 현실이기 때문이다. ,Robert H. Goddard,"It is difficult to say what is impossible, for the dream of yesterday is the hope of today and the reality of tomorrow."
조지 버나드 쇼, 사람들은 존재하는 것들을 보며 '왜지?'라고 말한다. 나는 존재한 적이 없는 것들을 꿈꾸며 '왜 안돼?'라고 말한다. ,George Bernard Shaw,"You see things; and you say, 'Why?' But I dream things that never were; and I say, ""Why not?"""
프리드리히 실러, 당신이 젊은 시절 꿈꾸었던 것에 충실하라. ,Friedrich von Schiller,Keep true to the dreams of thy youth.
헨리 브로멜," 꿈은 영혼의 창이라고 하니, 그 창으로 안을 들여다보면 영혼의 본질을 볼 수 있을 것이다. ",Henry Bromel,"They say dreams are the windows of the soul--take a peek and you can see the inner workings, the nuts and bolts."
윌리엄 셰익스피어," 호레이쇼, 천지간에는 자네의 철학으로 상상하는 것보다 많은 것들이 있다네. ",William Shakespeare,"There are more things in heaven and earth, Horatio, Than are dreamt of in your philosophy."
브렛 버틀러, 이루어질 꿈도 이루어지지 않을 꿈만큼 불확실할 수 있다. ,Brett Butler,Dreams that do come true can be as unsettling as those that don't.
안나 라페, 희망은 좋은 소식이 나쁜 소식보다 우세한지 계산하는 데서 오는 것이 아니다. 희망이란 그저 행동하겠다는 선택이다. ,Anna Lappe,Hope doesn't come from calculating whether the good news is winning out over the bad. It's simply a choice to take action.
신시아 오지크, 자신이 될 수 있는 존재가 되길 희망하는 것이 삶의 목적이다. ,Cynthia Ozick,To want to be what one can be is purpose in life.
마크 트웨인, 인류에게는 정말로 효과적인 무기가 하나있다. 바로 웃음이다. ,Mark Twain,"The human race has one really effective weapon, and that is laughter."
오든," 내가 좋아하거나 존경하는 사람들의 공통분모는 찾을 수 없지만, 내가 사랑하는 사람들의 공통된 특징은 찾을 수 있다. 그들은 나를 웃게 만든다. ",W. H. Auden,"Among those whom I like or admire, I can find no common denominator, but among those whom I love, I can: all of them make me laugh."
수잔 비소네트, 낙관주의자란 봄이 인간으로 태어난 것이다. ,Susan J. Bissonette,An optimist is the human personification of spring.
마가렛 딜란드, 인간은 살아있기 위해 무언가에 대한 열망을 간직해야 한다. ,Margaret Deland,One must desire something to be alive.
아리스토텔레스, 희망은 백일몽이다. ,Aristotle,Hope is a waking dream.
벤자민 프랭클린, 희망만을 먹고 사는 자는 굶어 죽을 것이다. ,Benjamin Franklin,He that lives upon hope will die fasting.
에우리피데스, 가장 현명한 사람은 자신만의 방향을 따른다. ,Euripides,The wisest men follow their own direction.
사무엘 존슨, 희망은 어떤 상황에서도 필요하다. ,Samuel Johnson,Hope is necessary in every condition.
랜디 K. 멀홀랜드, 당신이 원하는 것이 당신이 그럴 것이라고 꿈꾸었던 것과 같지 않음을 알게 되면 상처받게 된다. ,Randy K. Milholland,It hurts to find out that what you wanted doesn't match what you dreamed it would be.
빅터 보르게, 웃음은 두 사람간의 가장 가까운 거리다 ,Victor Borge,Laughter is the closest distance between two people.
조지 S. 패튼, 계산된 위험은 감수하라. 이는 단순히 무모한 것과는 완전히 다른 것이다. ,George S. Patton,Take calculated risks. That is quite different from being rash.
프레드리히 니체, 괴물과 싸우는 사람은 그 과정에서 자신마저 괴물이 되지 않도록 주의해야 한다. 그리고 그대가 오랫동안 심연을 들여다 볼 때 심연 역시 그대를 들여다 본다. ,Friedrich Nietzsche,"He who fights with monsters might take care lest he thereby become a monster. And if you gaze for long into an abyss, the abyss gazes also into you."
피에르 코르네유, 아무런 위험없이 승리하는 것은 영광없는 승리에 다름 아니다. ,Pierre Corneille,To win without risk is to triumph without glory.
빈센트 롬바르디," 일단 당신이 성공을 위해 자신과 가족이 치뤄야 할 대가를 인정하면 사소한 아픔, 경쟁자의 압력, 일시적 실패는 감내할 수 있다. ",Vincent Lombardi,"Once you agree upon the price you and your family must pay for success, it enables you to ignore the minor hurts, the opponent's pressure, and the temporary failures."
밀턴 벌리, 현재 어떤 존재가 될 수 없다면 나는 될 수 있을 법한 존재가 되련다. 될 수 있을 법한 존재란 별을 향해 뻗어나가는 '아마도'의 존재이기 때문이다. 나는 '-가 됐을 뻔 했던' 사람보다는 '-이었던' 사람이 되겠다. '됐을 뻔 했던' 사람은 한 번도 그 존재가 돼 보지 못했으나 '-이었던' 사람은 한 때 그 존재로 살아봤기 때문이다. ,Milton Berle,"I'd rather be a could - be if I cannot be an are; because a could - be is a maybe who is reaching for a star, I'd rather be a has - been than a might - have - been, by far; for a might have - been has never been, but a has was once an are."
스티븐 코비, 가장 큰 위험은 위험없는 삶이다. ,Stephen Covey,The greatest risk is the risk of riskless living.
무하마드 알리," 믿음이 부족하기 때문에 도전하길 두려워하는 바, 나는 스스로를 믿는다. ",Muhammad Ali,"It's lack of faith that makes people afraid of meeting challenges, and I believe in myself."
오프라 윈프리, 조금도 위험을 감수하지 않는 것이 인생에서 가장 위험한 일일 것이라 믿는다. ,Oprah Winfrey,I believe that one of life's greatest risks is never daring to risk.
프레드리히 니체," 하지만 그러므로 충고하건데 친구들이여, 남을 벌하려는 충동이 강한 자들 모두를 경계하라! ",Friedrich Nietzsche,"But thus do I counsel you, my friends: distrust all in whom the impulse to punish is powerful!"
스탠리 쿠니츠," 삶의 원동력은 무엇일까? 첫째도 욕망, 둘째도 욕망, 셋째도 욕망이다. ",Stanley Kunitz,"What makes the engine go? Desire, desire, desire."
커트 코베인, 열정없이 사느니 차라리 죽는게 낫다. ,Kurt Cobain,Rather be dead than cool.
게오르크 빌헬름, 이 세상에 열정없이 이루어진 위대한 것은 없다. ,Georg Wilhelm,Nothing great in the world has been accomplished without passion.
호아킨 세탄티, 자신은 위험을 무릅쓰고 하지 않을 행동을 충동질 하는 이를 조심하라. ,Joaquin Setanti,Be wary of the man who urges an action in which he himself incurs no risk.
벤자민 프랭클린," 열정으로 통치하긴 하지만, 결코 현명하게 통치하지는 못한다. ",Benjamin Franklin,"Passion governs, and she never governs wisely."
오프라 윈프리, 여러분이 할 수 있는 가장 큰 모험은 바로 여러분이 꿈꿔오던 삶을 사는 것입니다. ,Oprah Winfrey,The biggest adventure you can ever take is to live the life of your dreams.
도로시 세이어즈, 열정때문에 저지를 수 있는 유일하고도 가장 큰 잘못은 기뻐하지 않는 것이다. ,Dorothy L. Sayers,"The worst sin - perhaps the only sin - passion can commit, is to be joyless."
버락 오바마, 인생을 돈벌이에만 집중하는 것은 야망의 빈곤을 보여주는 것이다. 네 스스로에게 너무 적은 것을 요구하는 것이다. 야망을 가지고 더 큰 뜻을 이루고자 할 때에야 비로소 진정한 자신의 잠재력을 실현할 수 있기 때문이다. ,Barack Obama,Focusing your life solely on making a buck shows a certain poverty of ambition. It asks too little of yourself. Because it's only when you hitch your wagon to something larger than yourself that you realize your true potential.
T. S. 엘리엇, 너무 멀리 갈 위험을 감수하는 자만이 얼마나 멀리 갈 수 있는 지 알 수 있다. ,T. S. Eliot,Only those who will risk going too far can possibly find out how far one can go.
루이사 시게아, 꺼지지 않을 불길로 타올라라. ,Luisa Sigea,Blaze with the fire that is never extinguished.
우드로 윌슨, 나는 결국 실패할 대의를 추구하여 승리하기보다는 결국 승리할 대의를 따르다 실패하겠다. ,Woodrow Wilson,I would rather fail in a cause that will ultimately triumph than to triumph in a cause that will ultimately fail.
제임스 오웰," 사람을 존경하라, 그러면 그는 더 많은 일을 해 낼 것이다. ",James Howell,"Respect a man, he will do the more."
에이브러햄 링컨, 나는 자신이 사는 곳을 자랑스럽게 여기는 사람을 보길 원한다. 나는 그 지역 또한 그가 살고있다는 사실에 자랑스러워하는 모습을 보기 원한다. ,Abraham Lincoln,I like to see a man proud of the place in which he lives. I like to see a man live so that his place will be proud of him.
벤자민 프랭클린, 자신의 능력을 감추지 마라. 재능은 쓰라고 주어진 것이다. 그늘 속의 해시계가 무슨 소용이랴. ,Benjamin Franklin,Hide not your talents. They for use were made. What's a sundial in the shade.
세네카, 어떤 재능 혹은 다른 재능으로 뛰어난 사람이 될 수 있도록 노력하라. ,Seneca,Toil to make yourself remarkable by some talent or other.
세네카, 약간의 광기를 띠지 않은 위대한 천재란 없다. ,Seneca,There is no great genius without some touch of madness.
발타사르 그라시안, 자신을 내 보여라. 그러면 재능이 드러날 것이다. ,Baltasar Gracian,Put yourself on view. This brings your talents to light.
알버트 아인슈타인, 어떤 지적인 바보도 사물을 더 크고 보다 복잡하게 만들 수 있다. 그러나 그 반대 편으로 나아가기 위해서는 천재의 손길과 많은 용기가 필요하다. ,Albert Einstein,Any intelligent fool can make things bigger and more complex ... it takes a touch of genius -- and a lot of courage -- to move in the opposite direction.
나폴레옹 보나파르트, 기회 없는 능력은 쓸모가 없다. ,Napoleon Bonaparte,Ability is of little account without opportunity.
마이클 조던, 나는 중요한 슛을 놓친 결과에 절대 개의치 않는다. 그 결과에 대해 생각하면 언제나 부정적인 결과만 생각하게 된다. ,Michael Jordan,I never looked at the consequences of missing a big shot... when you think about the consequences you always think of a negative result.
에이브러햄 링컨, 그 투쟁에서 실패할 수도 있다는 개연성 때문에 정당하다고 믿는 대의를 지지하는 데서 물러 서서는 안된다. ,Abraham Lincoln,The probability that we may fail in the struggle ought not to deter us from the support of a cause we believe to be just.
에리카 종, 누구나 재능은 있다. 드문 것은 그 재능이 이끄는 암흑 속으로 따라 들어갈 용기다. ,Erica Jong,Everyone has talent. What is rare is the courage to follow the talent to the dark place where it leads.
사무엘 버틀러, 천재성이란 그것의 소유자들을 온갖 곤경에 처하게 만드는 최상의 능력이라고 묘사할 수 있을 것이다. ,Samuel Butler,Genius might be described as a supreme capacity for getting its possessors into trouble of all kinds.
찰스 칼렙 콜튼," 사람을 알기위해서는 어떻게 목표 달성에 실패하는가 보다는, 어떻게 목표 달성에 성공하는가를 살피라. 왜냐하면 실패할 때에는 자존심이 우리를 지탱해 주지만 성공할 때에는 자존심이 우리를 배반하기 때문이다. ",Charles Caleb Colton,"To know a man, observe how he wins his object, rather than how he loses it; for when we fail our pride supports us; when we succeed, it betrays us."
오스카 레반트, 천재와 광인사이에는 아주 가느다란 선이 있다. 나는 이 선을 지웠다. ,Oscar Levant,There's a fine line between genius and insanity. I have erased this line.
키케로, 우정에서 가장 소중한 장식을 없애는 것은 바로 우정에서 존경심을 제거하는 것이다. ,Cicero,"He removes the greatest ornament of friendship, who takes away from it respect."
벤자민 프랭클린," 자존심은 오전에는 풍요, 오후에는 가난, 밤에는 악명과 함께한다. ",Benjamin Franklin,"Pride breakfasted with plenty, dined with poverty, and supped with infamy."
뷔퐁, 천재는 거대한 인내일 뿐이다. ,Buffon,Genius is nothing but a great capacity for patience.
찰리 채플린," 나는 오로지 단 하나, 단 하나의 존재로 남아있으며, 그것은 바로 광대다. 광대라는 존재는 나를 그 어떤 정치인보다 더 높은 수준으로 올려놓는다. ",Charlie Chaplin,"I remain just one thing, and one thing only, and that is a clown. It places me on a far higher plane than any politician."
로잘린 카터, 자신의 능력을 믿어야 한다. 그리고 끝까지 굳세게 밀고 나가라. ,Rosalynn Carter,"You have to have confidence in your ability, and then be tough enough to follow through."
알버트 아인슈타인," 모든 인간은 개인으로서 존중받아야 하며, 그 누구도 우상으로 숭배해서는 안된다. ",Albert Einstein,Let every man be respected as an individual and no man idolized.
